"branch","sigma_3","sigma_1","sigma_n","tau","alpha_deg","beta_deg","beta_rad","sigma_n_pri","tau_pri"
"NGC",-19.9999999993101,75.5124937493812,-19.9269978777908,2.63956158585258,88.4157795328583,86.8315590657166,1.51549660033669,-0.996349893889542,0.131978079292629
"NGC",-19.9999999992753,75.5124937946349,-19.9260940685418,2.65583841073263,88.4060003941723,86.8120007883445,1.51515524400052,-0.996304703427089,0.132791920536632
"NGC",-19.999999999239,75.5124938412995,-19.9251847031451,2.67211492619822,88.3962212554862,86.7924425109724,1.51481388766436,-0.996259235157256,0.133605746309911
"NGC",-19.999999999201,75.5124938894099,-19.9242697817067,2.68839113035444,88.3864421168001,86.7728842336003,1.5144725313282,-0.996213489085334,0.134419556517722
"NGC",-19.9999999991614,75.5124939390017,-19.9233493043329,2.70466702130647,88.3766629781141,86.7533259562281,1.51413117499204,-0.996167465216647,0.135233351065323
"NGC",-19.9999999991201,75.5124939901113,-19.922423271131,2.72094259715955,88.366883839428,86.733767678856,1.51378981865588,-0.996121163556551,0.136047129857978
"NGC",-19.9999999990771,75.5124940427756,-19.9214916822087,2.73721785601902,88.357104700742,86.7142094014839,1.51344846231972,-0.996074584110434,0.136860892800951
"NGC",-19.9999999990322,75.5124940970323,-19.9205545376743,2.75349279599031,88.3473255620559,86.6946511241118,1.51310710598355,-0.996027726883715,0.137674639799515
"NGC",-19.9999999989854,75.5124941529197,-19.919611837637,2.7697674151789,88.3375464233698,86.6750928467397,1.51276574964739,-0.995980591881847,0.138488370758945
"NGC",-19.9999999989366,75.5124942104767,-19.9186635822063,2.78604171169039,88.3277672846838,86.6555345693675,1.51242439331123,-0.995933179110315,0.139302085584519
"NGC",-19.9999999988858,75.512494269743,-19.9177097714927,2.80231568363043,88.3179881459977,86.6359762919954,1.51208303697507,-0.995885488574635,0.140115784181521
"NGC",-19.9999999988328,75.5124943307592,-19.9167504056071,2.81858932910476,88.3082090073117,86.6164180146233,1.51174168063891,-0.995837520280355,0.140929466455238
